GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project-Modul-10,uz.pdp.controller,AuthController,15,10,0,0,3,4,3,2,3,2
Project-Modul-10,uz.pdp.controller,CatalogController,3,0,0,0,1,0,1,0,1,0
Project-Modul-10,uz.pdp.controller,MainController,3,0,0,0,1,0,1,0,1,0
Project-Modul-10,uz.pdp.controller,UserController,44,10,0,0,9,4,5,1,5,1
Project-Modul-10,uz.pdp.controller,ContactController,71,7,0,0,16,2,8,2,8,2
Project-Modul-10,uz.pdp.controller,DoorController,138,7,0,0,33,2,7,2,7,2
Project-Modul-10,uz.pdp.controller,AdminController,17,10,2,0,5,3,2,2,1,2
Project-Modul-10,uz.pdp.controller,CompanyDtls,3,0,0,0,1,0,1,0,1,0
Project-Modul-10,uz.pdp.controller,HealthController,26,7,0,0,7,2,1,2,1,2
Project-Modul-10,uz.pdp.config,MyConf,0,177,0,0,0,33,0,8,0,8
Project-Modul-10,uz.pdp.config,EmailConfig,0,43,0,0,0,11,0,2,0,2
Project-Modul-10,uz.pdp.config,CustomUserDetailsService,15,6,0,0,4,3,2,1,2,1
Project-Modul-10,uz.pdp.config,S3Config,0,24,0,0,0,6,0,2,0,2
Project-Modul-10,uz.pdp.config,RedisConfig,0,84,1,1,0,23,1,4,0,4
Project-Modul-10,uz.pdp.enums,VerificationType,0,21,0,0,0,4,0,1,0,1
Project-Modul-10,uz.pdp.enums,Role,0,21,0,0,0,4,0,1,0,1
Project-Modul-10,uz.pdp.enums,Size,6,46,0,0,2,9,2,2,2,2
Project-Modul-10,uz.pdp.enums,Socials,0,33,0,0,0,6,0,1,0,1
Project-Modul-10,uz.pdp.enums,Color,0,27,0,0,0,5,0,1,0,1
Project-Modul-10,uz.pdp.config.filtr,MyFilter,58,3,8,0,17,1,6,1,2,1
Project-Modul-10,uz.pdp.config.filtr,JwtProvider,48,3,0,0,17,1,4,1,4,1
Project-Modul-10,uz.pdp.entity,User,21,0,0,0,6,0,6,0,6,0
Project-Modul-10,uz.pdp.entity,Door,109,0,18,0,16,0,13,0,4,0
Project-Modul-10,uz.pdp.payload,EntityResponse,51,0,0,0,5,0,5,0,5,0
Project-Modul-10,uz.pdp.controller.graphql,DoorGraphQLController,57,7,0,0,14,2,3,2,3,2
Project-Modul-10,uz.pdp.service,DoorSecurityService,24,3,0,0,4,1,2,1,2,1
Project-Modul-10,uz.pdp.service,ImageStorageService,42,3,0,0,8,1,1,1,1,1
Project-Modul-10,uz.pdp.service,UserService,292,20,22,0,63,7,26,2,15,2
Project-Modul-10,uz.pdp.service,AuthService,267,16,30,0,56,6,22,2,7,2
Project-Modul-10,uz.pdp.service,EmailService,166,13,12,0,42,5,10,2,4,2
Project-Modul-10,uz.pdp.service,AddressService,567,7,6,0,127,2,27,2,24,2
Project-Modul-10,uz.pdp.service,AdminService,71,7,2,0,19,2,3,2,2,2
Project-Modul-10,uz.pdp.service,DoorService,283,7,16,0,66,2,17,2,9,2
Project-Modul-10,uz.pdp.projectmodul10,ProjectModul10Application,33,13,1,1,10,4,2,3,1,3
